FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
06037227010,CA,81.9,56.67,0.49,34.05,15.63,17.21,20346.14,13.68,37.7
06037227020,CA,78.1,305.65,0.64,28.35,15.76,19.75,20767.27,7.32,37.9
06037228100,CA,77.4,187.14,0.41,22.38,13.7,11.69,13314.85,3.28,36.8
06037228210,CA,75.9,318.37,0.63,31.85,16.11,16.95,25954.58,11.94,41.1
06037228220,CA,78.2,216.88,0.5,37.21,15.47,16.3,32419.58,11.01,34.3
06037228310,CA,75.9,197.72,0.35,26.43,14.89,12.58,21362.04,11.37,41.0
06037228320,CA,75.9,441.01,0.18,26.82,13.93,14.86,25750.73,7.12,37.7
06037228410,CA,75.9,207.57,0.43,25.22,15.7,20.11,31447.49,9.16,34.5
06037228420,CA,75.9,305.76,0.64,30.96,14.81,17.98,29551.26,8.17,33.8
06037228500,CA,77.7,242.12,0.5,31.59,15.07,16.87,29246.53,13.47,43.6
06037228600,CA,75.5,263.07,0.66,30.57,16.5,19.62,24604.16,8.37,39.7
06037228710,CA,78.4,364.35,0.54,25.05,14.42,19.56,26534.02,6.3,38.7
06037228720,CA,80.2,169.75,0.35,35.77,14.99,20.71,30760.56,12.54,38.3
06037228800,CA,75.9,129.43,0.39,27.86,13.58,22.41,16398.97,7.6,35.4
06037228900,CA,76.3,51.31,0.56,47.17,17.31,17.93,14906.38,17.05,41.4
06037229100,CA,77.4,110.23,0.4,35.84,14.7,24.03,25270.22,7.48,33.5
06037229200,CA,75.1,329.42,0.47,29.7,14.82,17.2,25727.05,10.37,41.8
06037229300,CA,77.2,372.6,0.39,27.72,13.9,20.08,30791.21,11.99,39.1
06037229410,CA,80.2,288.04,0.68,27.83,16.87,18.92,18774.6,4.75,35.5
06037229420,CA,75.4,164.06,0.55,25.15,15.76,20.6,19153.67,11.86,38.5
06037231100,CA,75.3,267.54,0.58,32.36,16.75,18.61,11034.24,24.37,38.8
06037231210,CA,74.0,144.95,0.29,26.13,13.21,13.46,34559.23,7.02,36.4
06037231220,CA,79.7,0.0,0.22,29.96,15.38,12.43,11680.97,15.53,34.6
06037231300,CA,75.3,161.21,0.34,30.78,14.93,17.09,22776.14,9.43,28.67
06037231400,CA,77.5,80.84,0.44,26.99,15.19,10.88,21665.43,3.18,33.9
06037231500,CA,77.0,313.37,0.57,36.25,15.56,16.0,14468.55,8.32,27.4
06037231600,CA,75.9,275.72,0.38,29.51,14.71,17.64,20035.88,7.22,32.05
06037231710,CA,76.4,344.79,0.46,33.1,14.78,21.12,34420.12,7.5,39.2
06037231720,CA,81.4,354.44,0.45,25.46,12.61,15.66,28831.94,6.21,40.6
06037231800,CA,81.2,267.85,0.64,31.95,15.83,24.4,26175.78,10.53,39.8
06037231900,CA,77.4,200.71,0.57,30.38,15.59,11.78,28038.49,5.35,37.55
06037232110,CA,75.3,349.27,0.64,26.06,15.45,21.08,23021.63,8.51,36.2
06037232120,CA,81.1,315.38,0.45,29.76,12.06,13.79,26342.77,9.89,34.2
06037232200,CA,75.4,215.74,0.35,35.67,15.7,10.35,18017.7,7.3,34.5
06037232300,CA,76.7,298.09,0.25,42.04,15.62,12.48,20563.01,3.33,31.9
06037232400,CA,77.4,359.92,0.44,37.0,14.77,8.01,16600.57,8.83,30.33
06037232500,CA,80.0,293.2,0.42,42.5,15.42,9.82,15978.02,7.89,33.7
06037232600,CA,77.7,327.55,0.4,36.1,14.3,15.47,24720.3,5.97,32.97
06037232700,CA,80.1,357.95,0.49,33.86,13.75,16.86,25528.32,4.73,35.06
06037232800,CA,75.8,292.9,0.36,34.43,14.56,16.15,26868.51,9.46,37.3
06037234000,CA,77.8,256.61,0.48,26.14,14.35,5.16,11787.17,1.74,27.72
06037234200,CA,82.3,362.08,0.56,26.65,15.29,3.23,7536.11,12.35,21.4
06037234300,CA,77.3,273.41,0.41,41.6,15.39,1.5,13746.29,12.13,22.9
06037234501,CA,78.3,453.71,0.4,25.43,12.82,4.7,9994.09,15.5,24.0
06037234502,CA,,299.75,0.35,26.26,13.26,4.77,13176.8,17.21,31.4
06037234600,CA,79.4,136.04,0.58,28.2,15.98,3.05,9708.03,11.86,27.8
06037234700,CA,76.6,249.54,0.47,27.5,15.18,10.26,12914.03,10.94,30.2
06037234800,CA,76.8,403.19,0.29,27.32,13.51,5.4,13555.88,10.32,28.2
06037234901,CA,73.0,241.94,0.51,18.87,13.74,12.39,23511.19,12.1,36.3
06037234902,CA,75.3,330.36,0.21,20.53,12.56,8.61,26367.41,10.73,36.5
06037235100,CA,78.7,531.81,0.37,24.74,12.92,6.93,8930.89,14.68,19.4
06037235201,CA,74.3,321.57,0.55,26.34,14.93,3.91,11298.85,5.71,31.3
06037235202,CA,72.8,202.41,0.49,27.5,15.97,6.38,11825.29,9.45,30.2
06037236000,CA,82.1,327.08,0.57,17.38,12.98,1.07,5104.96,4.34,16.5
06037236100,CA,76.3,274.41,0.27,33.57,14.25,6.12,15079.11,10.85,26.73
06037236202,CA,73.0,53.89,0.09,36.56,15.48,22.36,28099.93,23.04,26.9
06037236203,CA,74.2,217.21,0.26,26.63,13.9,9.53,28446.06,4.9,36.9
06037236204,CA,76.2,297.09,0.19,32.06,15.14,14.62,33441.01,11.43,32.5
06037236400,CA,80.8,479.9,0.23,26.98,11.83,6.62,8793.01,3.08,20.4
06037237101,CA,76.1,324.55,0.42,30.28,14.81,15.42,15759.69,7.88,37.7
06037237102,CA,85.3,318.35,0.48,32.07,13.25,15.4,22737.37,6.23,38.1
06037237201,CA,79.7,315.46,0.24,29.17,14.53,13.24,23637.47,12.58,37.1
06037237202,CA,78.6,287.75,0.46,32.96,15.71,12.31,10876.14,14.08,36.1
06037237300,CA,76.0,273.65,0.29,32.16,14.14,6.26,15708.29,5.05,31.0
06037237401,CA,74.1,313.69,0.17,36.31,14.1,17.66,21734.16,6.56,32.6
06037237402,CA,78.5,186.92,0.39,27.31,14.67,14.61,19359.2,6.32,26.1
06037237500,CA,80.0,284.32,0.5,31.09,14.79,10.44,21667.12,6.7,41.1
06037237600,CA,77.4,224.15,0.44,35.68,15.66,26.01,20638.09,15.18,40.4
06037237710,CA,73.7,345.03,0.59,37.9,15.76,18.83,26631.98,7.17,36.4
06037237720,CA,74.2,307.51,0.24,38.33,13.42,21.62,30134.57,3.64,40.7
06037237800,CA,78.8,358.53,0.36,24.92,13.43,5.77,10330.29,11.37,32.3
06037237900,CA,74.2,437.23,0.42,29.66,14.44,6.92,10920.07,9.52,26.7
06037238000,CA,74.3,318.42,0.25,29.05,14.11,3.33,8706.09,9.86,26.5
06037238100,CA,73.6,410.1,0.45,24.57,13.86,4.59,13598.27,4.95,26.9
06037238200,CA,74.1,363.37,0.39,30.3,14.71,6.98,15593.45,6.44,30.6
06037238310,CA,75.3,303.12,0.22,33.86,13.63,17.17,35223.02,6.5,35.1
06037238320,CA,75.1,313.71,0.57,36.08,15.48,10.43,19689.88,10.61,34.6
06037238400,CA,76.8,392.43,0.56,29.98,16.04,4.04,10162.61,9.11,23.7
06037239201,CA,75.3,236.01,0.58,37.67,15.01,22.06,20512.92,1.1,34.2
06037239202,CA,76.7,305.56,0.38,25.89,13.74,19.08,11461.45,9.23,44.7
06037239310,CA,77.3,303.38,0.49,41.35,15.62,21.71,19495.55,5.72,33.5
06037239320,CA,75.9,333.65,0.26,21.44,11.7,12.96,22969.18,8.52,36.4
06037239330,CA,78.5,284.19,0.59,15.75,13.08,17.6,7858.36,8.63,34.7
06037239501,CA,79.1,348.14,0.47,39.1,14.96,11.75,20033.27,8.6,33.6
06037239502,CA,74.3,318.16,0.17,33.37,14.86,18.1,18371.19,6.65,35.8
06037239601,CA,78.5,239.53,0.52,37.42,15.48,22.82,22539.56,4.98,33.3
06037239602,CA,72.2,255.78,0.22,34.62,14.12,16.86,28692.78,8.83,40.8
06037239701,CA,75.2,219.01,0.38,25.16,13.29,20.0,28505.24,12.83,41.3
06037239702,CA,77.6,306.07,0.44,35.44,15.68,15.85,24324.76,10.12,39.4
06037239801,CA,75.3,299.23,0.0,42.24,14.27,18.88,28752.5,8.7,32.7
06037239802,CA,75.3,315.88,0.37,41.92,14.74,12.73,24508.22,11.75,33.4
06037240010,CA,73.1,269.1,0.39,32.7,15.73,16.72,17113.0,13.52,44.3
06037240020,CA,79.6,219.47,0.25,39.84,14.72,14.53,19019.69,8.59,34.4
06037240200,CA,78.2,175.94,0.41,34.71,15.26,10.56,22004.78,15.91,36.6
06037240300,CA,76.3,298.57,0.52,37.99,15.95,14.99,19078.7,19.6,36.24
06037240401,CA,74.2,426.63,0.19,28.29,12.05,11.84,23951.34,6.34,39.3
06037240402,CA,79.4,279.22,0.33,36.84,14.69,12.54,18418.11,12.66,32.4
06037240500,CA,73.7,203.08,0.38,41.01,15.25,13.77,21547.83,11.22,36.6
06037240600,CA,74.6,61.02,0.4,42.36,15.86,16.85,20812.24,12.18,38.0
06037240700,CA,77.5,284.08,0.3,34.31,14.38,17.46,13712.12,9.5,33.4
06037240800,CA,76.7,220.02,0.23,30.78,14.78,15.69,18357.41,9.43,36.2
06037240900,CA,77.3,223.12,0.4,26.48,14.69,13.71,16299.73,8.75,38.41
06037241001,CA,75.1,186.28,0.3,32.6,12.82,13.51,13295.05,7.94,32.6
06037241002,CA,68.8,263.4,0.39,25.77,13.03,12.69,13826.12,16.68,30.1
06037241110,CA,,490.18,0.47,24.45,13.53,15.13,20325.55,4.19,37.0
06037241120,CA,75.3,309.38,0.34,43.66,14.62,11.03,16417.25,12.85,39.8
06037241201,CA,78.3,323.5,0.17,31.42,13.28,13.75,17520.74,6.58,29.6
06037241202,CA,77.1,246.05,0.45,49.25,15.44,8.89,11780.65,3.02,33.8
06037241300,CA,76.1,245.8,0.33,42.11,14.4,14.65,11786.07,14.05,32.8
06037241400,CA,74.2,317.46,0.38,37.02,13.78,12.03,17882.9,8.16,28.4
06037242000,CA,75.3,136.53,0.34,28.51,13.44,11.76,16315.23,12.56,36.6
06037242200,CA,74.1,140.41,0.26,31.47,14.64,10.78,22670.88,14.39,35.99
06037242300,CA,77.9,86.57,0.38,23.86,15.3,11.88,20595.33,18.66,36.6
06037242600,CA,75.3,414.32,0.18,52.2,14.19,7.09,25562.58,27.0,48.9
06037242700,CA,76.0,112.8,0.19,31.05,15.01,21.12,12710.0,4.06,34.3
06037243000,CA,77.7,135.61,0.26,40.76,14.72,15.25,22604.8,11.83,33.28
06037243100,CA,77.2,67.4,0.15,27.58,14.33,10.46,24537.21,17.52,39.5
06037261101,CA,87.5,,0.64,13.58,7.01,0.46,1592.45,6.49,14.34
06037261102,CA,90.2,,0.67,10.19,6.43,3.37,1140.58,1.58,14.1
06037261200,CA,86.4,,0.65,8.36,7.2,1.13,1413.75,7.29,16.2
06037262100,CA,85.8,622.28,0.59,9.79,7.69,0.94,727.71,9.4,13.0
06037262200,CA,86.6,,0.69,12.39,6.99,0.8,1323.33,4.66,14.9
06037262301,CA,86.5,,0.53,4.53,6.0,0.18,556.65,6.84,15.9
06037262302,CA,,810.04,0.45,14.76,8.7,0.0,2400.16,0.0,12.7
06037262303,CA,84.2,760.42,0.56,15.08,8.07,0.0,2723.43,2.99,12.4
06037262400,CA,86.4,709.45,0.6,8.47,7.73,2.72,666.53,0.97,11.9
06037262501,CA,86.2,622.51,0.71,21.77,13.94,0.86,5874.97,4.68,13.0
06037262601,CA,83.0,,0.67,11.01,6.5,0.18,2382.27,2.34,14.4
06037262604,CA,86.8,877.81,0.69,15.63,10.3,1.35,2632.37,2.59,14.1
06037262704,CA,81.9,713.48,0.85,18.77,15.17,0.45,4776.12,4.67,15.0
06037262706,CA,85.3,801.76,0.78,25.66,16.12,0.32,3925.63,3.72,13.1
06037262802,CA,81.8,278.99,0.65,18.79,12.07,1.89,17027.24,4.14,12.94
06037264000,CA,85.2,518.3,0.66,22.44,14.6,4.28,4115.07,9.31,12.6
06037264102,CA,86.4,213.24,0.81,13.43,15.0,1.07,18382.33,3.42,11.9
06037264103,CA,85.1,297.73,0.78,32.43,18.33,2.23,31200.34,6.37,12.7
06037264301,CA,81.5,196.72,0.68,32.32,17.76,3.3,31261.57,3.66,10.77
06037264302,CA,87.1,205.92,0.76,25.98,17.98,1.94,9550.47,4.63,14.74
06037265100,CA,80.8,705.9,0.68,15.0,12.68,1.16,2645.87,2.13,17.7
06037265201,CA,,456.38,0.63,21.04,13.79,6.65,15434.16,11.82,15.1
06037265202,CA,,220.27,0.65,25.58,16.98,2.95,15937.25,4.08,17.87
06037265301,CA,,658.49,0.14,43.03,11.83,2.95,20764.62,22.1,16.9
06037265303,CA,,393.12,0.52,21.32,12.35,5.73,82880.74,5.45,28.1
06037265304,CA,,405.29,0.16,21.49,11.61,1.4,59498.36,14.22,26.0
06037265305,CA,,254.81,0.71,27.69,17.0,1.31,36674.56,9.12,21.91
06037265420,CA,88.0,159.44,0.39,25.96,13.35,3.46,5224.11,3.09,12.7
06037265510,CA,,229.83,0.53,28.73,15.71,4.87,25530.36,2.55,14.61
06037265520,CA,86.7,299.02,0.62,35.12,17.36,2.74,17020.9,3.1,12.43
06037265601,CA,89.8,541.64,0.42,29.3,14.85,4.24,12548.85,1.44,15.4
06037265602,CA,86.9,328.26,0.57,23.67,14.87,2.6,22576.41,14.7,18.1
06037265700,CA,85.0,310.21,0.69,22.8,16.1,3.88,14985.49,10.5,16.74
06037267100,CA,87.6,409.18,0.57,33.33,15.67,1.83,14581.55,3.95,14.57
06037267200,CA,,298.88,0.84,34.72,18.05,1.24,14511.51,7.39,12.88
06037267300,CA,79.9,191.86,0.8,38.11,18.13,6.37,23263.65,15.46,15.9
06037267402,CA,79.7,296.99,0.55,35.89,16.45,4.04,27758.41,2.45,13.45
06037267403,CA,86.4,320.37,0.61,33.62,15.59,2.04,39122.28,17.37,12.5
06037267404,CA,87.5,274.93,0.78,39.35,18.33,4.03,30275.49,4.01,15.0
06037267501,CA,84.5,374.1,0.79,37.65,16.8,10.42,31980.9,4.12,14.74
06037267502,CA,77.2,262.92,0.75,36.31,17.0,10.28,19232.14,8.03,19.1
06037267600,CA,83.0,83.6,0.62,26.35,17.37,1.52,4951.76,2.05,18.8
06037267700,CA,84.4,326.88,0.81,32.33,17.43,6.74,12367.22,3.75,12.9
06037267800,CA,82.2,116.45,0.78,26.36,18.67,0.0,6965.53,2.33,13.7
06037267901,CA,83.3,449.32,0.58,16.65,13.08,1.07,6076.87,6.23,17.8
06037267902,CA,89.6,209.81,0.54,26.73,15.4,1.91,11883.55,5.63,11.2
06037269000,CA,83.8,93.25,0.57,19.38,14.99,0.31,5243.75,4.5,15.1
06037269100,CA,85.9,214.58,0.71,29.06,17.47,6.77,12998.28,9.18,12.9
06037269300,CA,87.1,328.01,0.62,22.97,14.78,1.57,4419.0,9.67,12.7
06037269500,CA,86.3,567.34,0.58,21.89,12.75,0.65,7213.09,9.06,11.7
06037269601,CA,76.5,437.59,0.48,31.87,15.51,7.17,27285.01,5.88,23.9
06037269602,CA,79.4,526.61,0.61,30.22,14.14,17.97,22567.28,9.01,24.0
06037269700,CA,79.6,336.13,0.55,28.61,14.66,3.9,10875.23,7.38,17.7
06037269800,CA,81.6,110.01,0.74,33.68,15.08,7.69,17017.51,2.73,13.1
06037269903,CA,80.9,320.53,0.8,31.06,17.17,4.41,30277.74,5.16,12.9
06037269904,CA,76.8,55.59,0.66,29.01,17.18,5.58,30383.81,3.01,13.4
06037269905,CA,78.4,57.24,0.65,36.7,16.46,5.23,24232.14,6.65,12.6
06037269906,CA,81.4,0.0,0.65,29.48,14.33,5.71,41428.55,1.84,13.0
06037269907,CA,,0.0,0.76,31.57,18.0,8.69,22943.6,7.62,14.1
06037270100,CA,81.3,102.91,0.54,28.88,15.22,7.04,21686.33,3.76,15.51
06037270200,CA,83.2,284.05,0.75,38.73,17.06,13.25,12630.67,6.2,23.4
06037270300,CA,79.6,382.55,0.33,29.11,13.58,11.23,7566.71,5.81,19.6
06037271100,CA,81.1,151.69,0.61,35.9,15.91,7.26,7924.16,4.95,18.0
06037271200,CA,79.2,187.49,0.78,50.19,16.61,8.95,11200.1,0.79,14.2
06037271300,CA,82.4,168.18,0.66,31.36,16.89,1.86,9074.97,6.29,18.6
06037271400,CA,84.2,743.66,0.64,28.45,14.03,2.66,7361.69,3.52,13.8
06037271500,CA,85.2,492.32,0.65,26.01,13.97,0.62,8327.16,2.9,16.6
06037271600,CA,84.7,309.81,0.49,31.69,13.12,5.28,14655.56,2.3,13.6
06037271701,CA,85.0,291.31,0.69,26.24,15.36,0.94,15003.48,4.03,12.89
06037271702,CA,80.2,229.08,0.69,29.33,17.2,6.98,15189.65,6.89,16.8
06037271801,CA,81.4,289.85,0.7,28.77,15.62,8.34,16432.7,5.64,18.3
06037271802,CA,80.9,371.74,0.69,24.33,14.51,6.5,28617.88,7.65,15.0
06037271901,CA,82.4,486.27,0.6,33.66,13.77,7.82,12780.01,2.37,14.2
06037271902,CA,86.2,500.24,0.72,30.1,15.07,3.5,10848.12,9.79,14.5
06037272100,CA,83.7,479.4,0.62,34.73,15.45,3.64,9435.27,6.76,18.3
06037272201,CA,81.4,247.95,0.65,34.71,15.68,15.57,19833.1,6.41,18.7
06037272202,CA,79.2,267.36,0.45,36.16,14.41,9.63,25985.22,3.37,16.2
06037272301,CA,82.4,416.19,0.52,25.85,13.0,7.96,13867.03,5.8,15.3
06037272302,CA,80.9,510.47,0.69,26.26,15.17,16.21,19309.52,3.94,22.5
06037273100,CA,82.4,490.54,0.66,32.26,16.23,2.53,5818.06,3.66,14.0
06037273200,CA,79.9,186.07,0.58,38.76,16.61,8.55,11729.58,4.75,15.5
06037273300,CA,81.3,332.37,0.68,42.22,17.51,9.82,13658.09,11.83,18.6
06037273402,CA,81.5,244.36,0.57,42.37,16.85,8.1,12845.1,4.32,12.93
06037273502,CA,80.6,176.4,0.73,47.94,18.4,2.86,11463.08,5.85,12.9
06037273600,CA,81.5,266.09,0.66,49.79,17.89,4.21,9253.07,4.68,13.1
06037273700,CA,81.8,385.43,0.65,37.0,15.74,1.54,10489.73,11.76,14.2
06037273800,CA,81.7,267.43,0.7,39.17,17.5,6.61,10571.22,5.67,13.7
06037273902,CA,83.5,375.29,0.66,53.54,16.55,4.36,11486.02,10.14,12.6
06037274100,CA,82.8,496.02,0.74,36.27,17.57,5.0,17472.81,5.4,13.6
06037274202,CA,81.2,115.67,0.69,46.19,17.23,4.24,10385.34,11.41,16.8
06037275101,CA,84.7,328.57,0.76,30.99,18.0,9.7,7584.14,10.51,15.8
06037275102,CA,81.3,503.45,0.63,33.36,13.2,15.57,18104.8,5.62,25.9
06037275200,CA,80.3,259.95,0.65,27.54,14.27,7.99,21006.32,6.91,19.9
06037275302,CA,82.3,316.95,0.71,26.48,16.05,4.33,7968.68,2.7,18.26
06037275311,CA,81.8,371.43,0.66,30.62,14.96,4.21,10285.22,7.17,18.0
06037275400,CA,82.6,485.97,0.76,22.61,16.09,2.21,14350.31,1.82,14.3
06037275500,CA,80.9,363.05,0.3,21.79,12.46,7.15,16341.35,4.85,29.1
06037275602,CA,81.0,653.13,0.73,25.43,16.17,2.87,14781.64,4.42,11.36
06037275603,CA,81.8,368.72,0.68,37.83,16.73,2.94,7334.76,3.01,16.9
06037276000,CA,87.0,539.68,0.62,26.2,13.4,2.78,7319.94,5.11,14.5
06037276100,CA,80.0,490.07,0.62,22.39,15.37,8.88,22806.16,10.94,20.91
06037276400,CA,82.9,640.72,0.6,24.39,10.46,0.27,8906.88,5.17,13.4
06037276500,CA,,735.88,0.55,29.2,15.03,2.26,12205.1,9.74,13.9
06037276601,CA,85.3,388.14,0.55,28.14,13.84,2.78,4798.49,7.79,13.6
06037276603,CA,82.4,336.88,0.7,21.33,13.74,2.67,31293.82,8.99,13.27
06037276604,CA,83.3,554.37,0.66,23.78,13.91,2.57,15225.72,4.94,14.63
06037277000,CA,81.5,641.0,0.54,21.28,12.43,1.38,6699.97,4.7,15.4
06037277100,CA,82.0,528.74,0.65,23.96,14.08,3.08,6608.66,8.8,17.0
06037277200,CA,78.9,400.31,0.59,22.16,14.24,5.69,4586.63,5.09,20.6
06037277400,CA,,302.69,0.3,37.62,15.39,,0.0,,
06037278001,CA,80.6,318.59,0.75,27.8,17.34,4.68,3562.42,1.82,16.9
06037278102,CA,81.6,415.79,0.64,24.02,14.97,0.55,4810.88,5.88,11.3
06037291110,CA,78.1,605.74,0.36,34.74,12.1,15.01,16493.52,15.97,30.4
06037291120,CA,75.3,527.06,0.43,34.5,14.33,17.86,8041.71,8.59,28.9
06037291130,CA,,631.69,0.33,32.87,11.92,10.28,7003.1,5.77,26.5
06037291210,CA,84.0,646.37,0.69,31.39,14.76,10.76,9904.23,3.03,29.7
06037291220,CA,83.7,361.43,0.69,36.27,14.79,8.93,9515.97,6.68,29.5
06037291300,CA,79.0,778.17,0.67,24.79,14.01,11.58,5744.78,4.31,22.57
06037292000,CA,80.3,524.63,0.35,19.14,10.96,14.41,8017.68,9.84,28.06
06037293201,CA,78.2,449.28,0.66,21.73,14.23,11.67,16028.6,6.41,24.16
06037293202,CA,78.8,955.16,0.48,22.14,13.25,20.16,15882.62,6.47,28.49
06037293301,CA,79.7,409.04,0.34,21.71,12.5,3.92,8380.12,5.94,18.6
06037293302,CA,85.0,394.4,0.62,32.2,16.03,7.89,10729.36,5.02,23.9
06037293304,CA,81.4,368.03,0.68,37.16,15.81,13.94,24180.97,5.67,27.0
06037293306,CA,80.1,725.64,0.77,34.37,14.11,5.28,9265.76,13.96,20.5
06037293307,CA,78.5,400.29,0.58,30.51,15.44,11.95,20405.52,5.34,32.5
06037294110,CA,82.0,372.11,0.51,26.05,14.47,6.81,10317.79,11.04,33.3
06037294120,CA,77.0,339.07,0.5,23.46,14.2,23.82,4649.59,4.19,38.0
06037294200,CA,78.6,355.13,0.54,27.85,14.73,15.7,12676.09,9.56,33.6
06037294301,CA,81.6,380.8,0.52,23.3,12.86,9.67,9919.85,2.9,28.5
06037294302,CA,80.0,324.03,0.7,36.27,15.76,16.36,14076.32,4.64,31.6
06037294410,CA,79.6,436.72,0.56,33.53,14.87,6.86,16267.67,15.32,27.9
06037294421,CA,81.2,433.99,0.33,30.89,14.66,20.81,10629.13,3.68,29.6
06037294510,CA,76.2,431.46,0.35,27.48,13.9,10.55,20465.82,5.17,34.6
06037294520,CA,81.3,456.28,0.68,28.92,15.56,11.79,19245.22,9.59,29.2
06037294610,CA,80.0,300.94,0.74,28.67,16.86,24.2,12641.71,17.1,31.6
06037294620,CA,81.8,281.81,0.5,32.68,16.66,9.34,13014.6,6.92,32.3
06037294701,CA,75.6,267.25,0.44,25.69,15.37,22.02,4118.43,4.93,39.0
06037294810,CA,80.2,334.34,0.45,39.02,14.41,18.25,31754.15,5.91,35.5
06037294820,CA,76.2,293.39,0.59,34.84,16.77,15.81,22213.25,3.51,45.2
06037294830,CA,77.4,337.9,0.2,29.69,14.26,14.01,12182.77,3.96,33.5
06037294900,CA,79.5,209.35,0.59,43.24,17.07,17.91,15366.06,6.21,38.1
06037295103,CA,80.3,796.46,0.75,17.82,13.83,1.12,6760.77,5.89,18.5
06037296210,CA,80.2,311.34,0.44,40.46,14.36,12.17,16738.39,8.31,33.8
06037296220,CA,76.6,206.37,0.47,32.94,16.0,15.77,20058.71,9.1,31.8
06037296300,CA,81.1,866.01,0.73,28.31,15.47,5.39,11898.89,6.23,21.3
06037296401,CA,84.1,659.17,0.62,21.04,12.42,6.1,8069.9,6.95,20.4
06037296402,CA,79.0,148.33,0.53,31.69,15.15,5.44,8285.28,6.81,20.2
06037296500,CA,77.1,327.54,0.64,33.69,14.97,12.1,10581.86,3.78,27.6
06037296600,CA,76.9,113.04,0.62,40.23,18.07,12.61,16254.58,10.35,31.9
06037296901,CA,78.5,167.61,0.62,38.51,16.81,15.69,18846.1,8.99,30.5
06037296902,CA,80.3,213.76,0.33,37.21,15.47,14.75,23908.67,9.21,27.0
06037297000,CA,82.6,262.5,0.39,32.86,14.66,4.9,12445.28,3.91,19.67
06037297110,CA,77.8,433.76,0.6,40.53,15.62,13.31,25550.34,10.51,37.5
06037297120,CA,76.2,348.39,0.73,41.84,16.66,11.7,19844.14,6.1,26.3
06037297201,CA,79.8,336.18,0.52,43.18,14.52,12.09,26145.95,4.06,24.0
06037297202,CA,79.4,119.2,0.44,41.06,14.98,13.4,18568.45,2.46,21.7
06037297300,CA,79.8,513.3,0.47,26.68,14.88,1.78,4524.21,8.16,16.5
06037297400,CA,82.8,532.42,0.6,22.77,10.1,3.64,4020.5,7.81,18.8
06037297500,CA,78.3,569.73,0.47,27.19,12.97,7.07,6774.83,3.23,18.0
06037297601,CA,79.6,201.25,0.54,29.13,14.77,4.06,11564.13,4.07,17.1
06037297602,CA,81.3,340.42,0.51,35.3,14.29,7.73,14105.94,3.72,23.8
06037320100,CA,84.8,258.42,0.64,20.99,14.6,10.64,10433.76,8.55,26.56
06037320201,CA,76.2,457.84,0.54,22.89,15.52,12.31,11673.14,9.17,37.0
06037320202,CA,79.4,335.54,0.51,20.84,13.96,13.0,10057.76,4.17,30.7
06037320300,CA,80.8,384.74,0.68,29.82,17.39,7.44,9538.32,7.26,29.9
06037609900,CA,76.4,390.74,0.43,25.78,14.13,9.1,8561.62,8.31,26.7
06037700101,CA,81.5,329.11,0.59,27.46,16.1,7.3,20475.29,6.65,17.6
06037700102,CA,,345.88,0.67,20.1,15.0,8.09,24535.12,11.94,17.5
06037700200,CA,,223.24,0.7,18.08,14.01,3.21,25596.38,7.06,16.1
06037700300,CA,82.0,298.71,0.67,24.47,16.41,3.6,24507.21,6.69,15.2
06037700400,CA,81.8,298.65,0.75,26.56,17.77,4.83,9211.02,4.91,15.0
06037700501,CA,83.7,359.84,0.66,29.61,17.12,2.7,18145.44,9.93,14.8
06037700502,CA,79.7,158.79,0.66,22.03,16.21,2.77,19824.25,10.69,14.1
06037700600,CA,87.7,613.31,0.55,18.18,11.58,1.38,2271.02,5.29,12.5
06037700700,CA,86.0,542.1,0.45,19.26,11.59,0.34,2589.55,0.0,16.3
06037700801,CA,,328.18,0.75,26.77,17.55,5.91,6868.58,9.42,18.0
06037700802,CA,85.2,281.01,0.68,26.07,16.66,10.77,15252.61,14.17,16.1
06037700901,CA,84.2,330.68,0.8,23.24,17.04,2.31,10552.58,5.94,15.6
06037700902,CA,84.2,226.66,0.74,23.92,17.13,5.04,17714.76,9.51,14.9
06037701000,CA,84.4,270.88,0.65,25.76,15.98,4.35,9427.49,11.01,16.9
06037701100,CA,69.7,568.63,0.5,26.34,13.17,2.1,1492.01,31.29,49.0
06037980008,CA,,771.14,0.74,7.41,12.67,0.0,84.56,44.44,48.3
06037980009,CA,,1101.06,0.55,15.8,11.0,,19228.61,,
06037980010,CA,,,0.26,25.57,6.33,42.86,120.62,1.3,49.0
06037980014,CA,,,0.3,18.46,6.0,,17.99,,
06037980015,CA,,642.4,0.49,7.15,10.5,7.76,557.04,0.17,25.4
06037980019,CA,,,0.75,1.94,7.17,0.0,4.63,34.62,15.0
06037980020,CA,,,0.0,2.57,1.0,,0.0,,
06037980021,CA,,1107.77,0.36,13.03,11.5,47.06,6.4,0.0,
06037980022,CA,,,0.16,5.66,2.33,,0.0,,
06037980023,CA,,,0.0,2.87,2.0,,0.0,,
06037980024,CA,,360.76,0.6,18.87,13.5,3.65,44.36,0.0,13.9
06037980026,CA,,,0.0,1.95,1.0,,2.05,,
06037980028,CA,,252.13,0.45,11.16,11.5,,9840.18,,
06037980031,CA,,,0.37,26.94,8.17,0.0,176.06,,21.7
