FGEOIDCT10,Sits in State,Life Expectancy,Average Distance to Transit,Ave Economic Diversity,Ave Road Network Density,Walkability Index,Ave Percent People Without Health Insurance,Ave Population Density,Ave Percent People Unemployed,Ave Physical Inactivity
04013104502,AZ,76.9,370.91,0.26,19.93,12.45,21.45,10760.72,9.82,31.9
04013104600,AZ,73.2,393.61,0.3,19.71,12.94,11.86,3913.82,9.85,30.5
04013104701,AZ,76.8,390.42,0.48,27.13,15.69,13.35,7143.45,9.76,29.0
04013104702,AZ,76.6,330.37,0.54,23.57,14.48,22.68,6749.88,10.09,31.4
04013104801,AZ,83.5,925.37,0.57,15.55,10.85,3.02,1677.49,1.61,19.1
04013104802,AZ,80.1,512.97,0.64,21.28,12.3,9.79,4380.18,3.32,21.6
04013104900,AZ,81.0,532.22,0.64,27.26,14.8,6.54,4058.17,3.14,17.9
04013105101,AZ,81.2,860.76,0.67,16.64,11.43,2.95,1856.9,1.83,14.2
04013105102,AZ,81.8,689.71,0.61,17.33,11.31,0.47,635.64,2.56,17.0
04013105200,AZ,79.3,513.46,0.46,22.16,13.56,8.16,4010.61,4.51,21.0
04013105300,AZ,78.2,323.17,0.51,23.61,14.57,18.18,4797.16,1.57,23.5
04013105400,AZ,82.3,567.27,0.58,23.29,14.3,5.6,3707.59,4.27,18.4
04013105501,AZ,70.9,556.21,0.58,28.43,14.92,15.02,4630.8,5.34,27.2
04013105502,AZ,,646.86,0.31,14.16,9.36,12.84,7549.29,8.92,30.9
04013105503,AZ,,559.4,0.32,25.9,13.69,18.81,16946.29,7.45,27.2
04013105601,AZ,75.1,421.71,0.39,27.35,12.91,21.12,8193.17,8.04,30.1
04013105602,AZ,74.1,459.66,0.48,30.68,14.16,14.39,12844.78,13.33,30.8
04013105701,AZ,77.2,498.84,0.74,23.53,14.16,7.22,6933.25,4.74,29.2
04013105702,AZ,74.7,458.48,0.58,26.56,14.19,18.57,8606.03,1.47,29.4
04013105800,AZ,76.5,570.75,0.4,23.92,13.85,12.51,6237.76,4.22,24.7
04013105900,AZ,75.7,448.81,0.77,17.48,14.34,12.24,5334.09,10.75,30.1
04013106001,AZ,,367.47,0.8,29.25,14.67,15.48,6838.52,12.8,36.5
04013106002,AZ,69.9,478.05,0.57,16.8,12.2,25.47,7151.93,5.17,26.1
04013106003,AZ,76.0,485.72,0.43,25.11,12.5,28.65,11109.79,6.81,32.6
04013106100,AZ,78.0,477.29,0.38,22.35,12.84,6.92,5915.51,8.1,20.1
04013106200,AZ,78.2,491.1,0.66,19.05,13.07,1.88,3404.71,1.12,16.3
04013106300,AZ,72.9,577.63,0.71,19.46,15.25,5.72,5193.52,5.82,19.1
04013106400,AZ,81.3,595.51,0.52,25.04,14.45,11.12,3391.24,3.92,22.1
04013106501,AZ,78.4,484.98,0.61,21.54,14.19,6.69,5983.68,6.8,20.1
04013106502,AZ,78.0,438.5,0.51,21.81,13.34,11.19,7302.58,4.98,21.6
04013106600,AZ,80.1,512.02,0.48,17.74,12.89,5.34,3630.6,3.32,16.8
04013106701,AZ,75.1,504.21,0.35,24.69,12.7,14.56,18634.18,8.98,29.6
04013106702,AZ,76.4,607.53,0.68,19.22,13.5,9.15,5145.11,8.65,20.7
04013106703,AZ,78.2,361.11,0.42,24.97,13.48,9.8,4904.99,1.97,17.9
04013106801,AZ,75.3,342.67,0.39,26.54,12.03,17.51,17338.48,8.34,43.1
04013106802,AZ,70.7,618.76,0.56,27.1,15.23,13.29,4569.26,6.6,25.5
04013106900,AZ,78.5,509.74,0.59,24.85,14.64,24.64,8212.85,4.45,33.5
04013107000,AZ,78.9,440.14,0.62,24.7,14.19,21.19,8521.94,7.75,35.02
04013107101,AZ,75.9,411.68,0.46,21.69,11.74,18.67,10845.47,5.62,31.3
04013107102,AZ,75.2,494.55,0.5,23.29,13.34,21.67,10390.82,0.93,37.5
04013107201,AZ,75.9,473.47,0.41,18.87,13.32,14.99,6242.48,10.75,24.5
04013107202,AZ,77.5,475.91,0.52,24.57,13.19,24.83,10054.03,6.05,33.9
04013107300,AZ,76.1,563.09,0.61,23.55,14.23,21.08,6869.11,3.25,32.9
04013107400,AZ,75.4,452.62,0.52,24.78,13.97,8.1,10140.59,9.4,31.36
04013107500,AZ,79.7,343.67,0.77,19.51,17.01,13.02,3438.22,2.35,17.0
04013107601,AZ,80.4,402.85,0.73,22.29,16.58,7.28,5889.5,2.83,22.5
04013107602,AZ,75.9,539.93,0.46,17.78,13.01,5.93,5457.44,2.86,17.4
04013107700,AZ,81.7,686.04,0.45,23.59,12.57,4.2,4069.92,2.18,15.5
04013107800,AZ,81.9,1131.57,0.72,17.04,14.29,1.11,1849.19,2.18,14.7
04013107900,AZ,85.5,657.25,0.53,16.77,13.47,11.32,1276.68,6.18,17.0
04013108000,AZ,84.3,904.17,0.62,16.34,11.96,1.09,1941.1,4.93,12.6
04013108100,AZ,80.6,586.07,0.58,19.86,14.5,16.01,4011.36,0.67,12.7
04013108200,AZ,77.2,533.55,0.59,21.08,14.53,4.57,5171.09,4.91,17.7
04013108301,AZ,,517.62,0.68,20.41,14.98,6.59,4367.5,3.19,15.4
04013108302,AZ,78.7,579.24,0.71,20.95,14.75,9.09,6327.54,2.81,21.3
04013108400,AZ,76.0,368.51,0.57,20.08,14.94,7.78,5709.19,1.75,21.3
04013108501,AZ,,452.71,0.7,30.25,17.19,15.83,4899.36,3.31,22.1
04013108502,AZ,78.5,451.18,0.58,19.83,14.14,12.09,6759.42,0.0,17.3
04013108601,AZ,,393.15,0.44,18.26,13.63,15.4,7732.69,7.06,27.9
04013108602,AZ,78.2,559.45,0.52,20.82,13.62,12.73,9752.5,4.2,26.6
04013108802,AZ,76.0,423.18,0.67,22.79,15.26,19.68,5338.86,0.75,20.9
04013108901,AZ,71.5,373.85,0.66,21.78,14.23,13.96,5904.49,3.12,20.8
04013108902,AZ,72.8,495.63,0.61,21.46,13.27,10.92,8931.75,3.61,26.7
04013109001,AZ,71.0,247.14,0.36,24.82,11.03,35.76,20054.06,3.91,40.8
04013109002,AZ,76.9,616.71,0.37,26.37,13.64,23.48,10844.03,10.35,31.8
04013109003,AZ,75.9,757.73,0.28,18.28,11.06,20.75,17318.36,9.12,39.2
04013109101,AZ,77.3,493.15,0.43,21.81,12.25,29.59,7649.07,5.87,40.9
04013109102,AZ,75.7,422.93,0.43,26.75,12.2,23.14,13433.92,6.06,41.2
04013109200,AZ,75.3,591.85,0.15,19.95,10.67,23.44,4450.79,13.16,34.3
04013109300,AZ,75.6,559.0,0.5,19.76,13.85,25.09,4804.93,6.71,34.3
04013109400,AZ,75.2,489.15,0.34,27.27,12.32,29.25,8210.59,9.35,33.12
04013109500,AZ,77.1,577.43,0.41,20.5,12.65,20.86,6128.39,6.68,33.2
04013109601,AZ,77.4,501.16,0.27,26.57,13.01,20.04,9576.09,6.05,36.3
04013109602,AZ,75.2,456.47,0.41,21.57,13.05,30.3,13774.89,11.05,32.8
04013109603,AZ,76.2,316.45,0.09,25.04,12.23,20.04,8005.94,5.97,28.4
04013109604,AZ,81.1,479.31,0.18,30.24,11.91,23.87,10485.4,3.88,37.2
04013109701,AZ,,510.78,0.19,29.48,12.68,20.38,17172.79,1.64,34.71
04013109702,AZ,76.8,484.63,0.34,26.81,13.31,31.01,10904.46,6.68,35.7
04013109703,AZ,,742.68,0.53,24.84,14.65,32.75,5968.14,17.77,37.4
04013109704,AZ,,352.3,0.21,28.29,12.89,21.32,10717.16,8.16,38.8
04013109705,AZ,75.9,611.45,0.25,29.08,13.25,27.93,8633.19,0.42,32.9
04013109801,AZ,75.6,549.89,0.52,24.88,14.24,27.29,10677.12,3.77,36.7
04013109802,AZ,77.7,510.94,0.19,25.97,11.54,23.38,9207.94,5.78,37.6
04013109900,AZ,75.7,505.53,0.61,24.82,14.48,30.33,7632.06,7.42,37.7
04013110001,AZ,80.7,593.8,0.48,22.16,12.31,28.55,9469.94,5.26,39.5
04013110002,AZ,76.3,437.81,0.54,23.73,13.72,36.98,10625.81,5.93,35.1
04013110100,AZ,76.7,548.18,0.32,24.19,12.38,29.13,6958.62,6.7,40.8
04013110400,AZ,76.8,479.96,0.63,19.01,14.02,23.57,5132.16,2.72,23.9
04013110501,AZ,70.1,359.56,0.57,26.25,15.13,10.17,6307.28,4.48,24.0
